Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/8/2014,Specimens collected,,,,,,,,,,,,,,,
9/8/2014,Specimens pending for testing,,,,,,,,,,,,,,,
9/8/2014,Total specimens tested,,,,,,,,,,,,,,,
9/8/2014,Newly reported deaths,47,2,0,0,0,0,0,7,6,0,31,1,0,0,0
9/8/2014,Total death/s in confirmed cases,530,27,11,0,13,4,0,165,30,0,249,31,0,0,0
9/8/2014,Total death/s in probable cases,443,20,13,0,3,3,0,158,64,4,134,43,0,1,0
9/8/2014,Total death/s in suspected cases,239,0,22,0,3,5,2,35,54,0,101,12,5,0,0
9/8/2014,"Total death/s in confirmed, probable, suspected cases",1212,47,46,0,19,12,2,358,148,4,484,86,5,1,0
9/8/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,
9/8/2014,Newly reported contacts,435,60,0,0,0,0,0,6,87,0,230,52,0,0,0
9/8/2014,Total contacts listed,6621,206,514,0,61,41,0,337,1168,6,3791,482,9,6,0
9/8/2014,Currently under follow-up,3849,102,274,0,61,41,0,162,1010,6,1882,298,9,4,0
9/8/2014,Contacts seen,3660,102,274,0,0,41,0,162,1010,6,1767,298,0,0,0
9/8/2014,Contacts who completed 21 day follow-up,149,0,0,0,0,0,0,26,0,0,123,0,0,0,0
9/8/2014,Contacts lost to follow-up,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9/8/2014,New admissions,26,0,0,0,0,0,0,1,0,0,25,0,0,0,0
9/8/2014,Total no. currently in Treatment Units,279,0,0,0,0,0,0,47,0,0,232,0,0,0,0
9/8/2014,Total discharges,11,0,0,0,0,0,0,2,0,0,9,0,0,0,0
9/8/2014,Cumulative admission/isolation,279,0,0,0,0,0,0,47,0,0,232,0,0,0,0
9/8/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
9/8/2014,Cumulative cases among HCW,164,5,26,0,3,3,0,20,35,0,69,3,0,0,
9/8/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/8/2014,Cumulative deaths among HCW,78,5,5,0,1,0,0,17,19,0,31,0,0,0,
9/8/2014,New Case/s (Suspected),29,0,0,0,0,1,0,0,4,0,24,0,0,0,0
9/8/2014,New Case/s (Probable),24,3,0,0,0,0,0,1,14,0,6,0,0,0,0
9/8/2014,New case/s (confirmed),12,0,8,0,0,0,0,4,0,0,0,0,0,0,0
9/8/2014,Total suspected cases,479,4,88,1,21,5,3,53,164,1,108,24,6,0,1
9/8/2014,Total probable cases,1005,37,41,0,12,5,0,370,141,5,333,58,3,0,0
9/8/2014,Total confirmed cases,700,33,44,0,13,4,0,258,33,0,266,47,0,1,1
9/8/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0,0
9/8/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
