Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
6/28/2014,Specimens collected,3,0,0,0,0,0,0,3,0,0,0,0
6/28/2014,Specimens pending for testing,8,0,0,0,8,0,0,0,0,0,0,0
6/28/2014,Total specimens tested,3,0,0,0,0,0,0,3,0,0,0,0
6/28/2014,Newly reported deaths,1,0,0,0,1,0,0,0,0,0,0,0
6/28/2014,Total death/s in confirmed cases,26,0,0,0,13,2,0,11,0,0,0,0
6/28/2014,Total death/s in probable cases,10,0,0,0,5,0,0,5,0,0,0,0
6/28/2014,Total death/s in suspected cases,13,0,0,0,9,0,0,4,0,0,0,0
6/28/2014,"Total death/s in confirmed, probable, suspected cases",49,0,0,0,27,2,0,20,0,0,0,0
6/28/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,61,,,,,,,,,,,
6/28/2014,Newly reported contacts,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2014,Total contacts listed,441,0,0,0,272,28,0,141,0,0,0,0
6/28/2014,Currently under follow-up,419,0,0,0,272,6,0,141,0,0,0,0
6/28/2014,Contacts seen,407,0,0,0,272,6,0,129,0,0,0,0
6/28/2014,Contacts who completed 21 day follow-up,22,0,0,0,17,0,0,5,0,0,0,0
6/28/2014,Contacts lost to follow-up,15,0,0,0,0,0,0,15,0,0,0,0
6/28/2014,New admissions,5,0,0,0,2,0,0,3,0,0,0,0
6/28/2014,Total no. currently in Treatment Units,25,0,0,0,19,0,0,6,0,0,0,0
6/28/2014,Total discharges,3,0,0,0,2,0,0,1,0,0,0,0
6/28/2014,Cumulative admission/isolation,25,0,0,0,19,0,0,6,0,0,0,0
6/28/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,1,0,,0,0
6/28/2014,Cumulative cases among HCW,9,0,0,0,5,0,0,4,0,,0,0
6/28/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,,0,0
6/28/2014,Cumulative deaths among HCW,5,0,0,0,2,0,0,3,0,,0,0
6/28/2014,New Case/s (Suspected),2,0,0,0,2,0,0,0,0,0,0,0
6/28/2014,New Case/s (Probable),6,0,0,0,3,0,0,3,0,0,0,0
6/28/2014,New case/s (confirmed),1,0,0,0,0,0,0,1,0,0,0,0
6/28/2014,Total suspected cases,29,0,0,0,27,0,0,2,0,0,0,0
6/28/2014,Total probable cases,18,0,0,0,8,2,0,8,0,0,0,0
6/28/2014,Total confirmed cases,41,0,0,0,26,1,0,14,0,0,0,0
6/28/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,4,0,0,0,4,0,0,0,0,0,0,0
6/28/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
