Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
12/2/2014,Specimens collected,,,,,,,,,,,,,,,,
12/2/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
12/2/2014,Total specimens tested,71,,,,,,,,,,,,,,,
12/2/2014,Newly reported deaths,,,,,,,,,,,,,,,,
12/2/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
12/2/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
12/2/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
12/2/2014,"Total death/s in confirmed, 
 probable, suspected cases",3161,158,124,10,62,74,5,27,384,549,17,1651,53,8,25,14
12/2/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
12/2/2014,Newly reported contacts,169,0,0,0,0,9,0,0,0,4,0,156,0,0,0,0
12/2/2014,Total contacts listed,,,,,,,,,,,,,,,,
12/2/2014,Currently under follow-up,6027,132,218,8,50,410,1,72,66,1733,27,3229,0,0,0,81
12/2/2014,Contacts seen,5573,132,218,8,55,373,1,0,66,1418,27,3225,0,0,0,50
12/2/2014,"Contacts who completed 21 day 
 follow-up",782,10,0,0,23,7,0,38,0,499,0,199,0,0,6,0
12/2/2014,Contacts lost to follow-up,85,0,0,0,2,1,0,34,0,17,0,0,0,0,0,31
12/2/2014,New admissions,23,4,2,0,0,0,0,0,0,3,0,13,1,0,0,0
12/2/2014,"Total no. currently in Treatment 
 Units",133,5,9,0,0,0,0,0,0,3,0,107,9,0,0,0
12/2/2014,Total discharges,30,2,3,0,0,0,0,0,0,4,0,21,0,0,0,0
12/2/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
12/2/2014,Newly Reported Cases in HCW,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12/2/2014,Cumulative cases among HCW,363,18,41,0,8,9,0,0,22,70,1,178,12,3,0,1
12/2/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Cumulative deaths among HCW,174,14,16,0,4,4,0,0,16,38,0,80,2,0,0,0
12/2/2014,New Case/s (Suspected),18,0,0,0,3,,1,0,0,0,3,0,10,1,0,0
12/2/2014,New Case/s (Probable),10,4,0,0,0,,3,0,0,0,0,0,2,1,0,0
12/2/2014,New case/s (confirmed),9,0,0,0,0,0,,0,0,0,0,0,9,0,0,0
12/2/2014,Total suspected cases,3057,84,391,25,40,45,8,14,171,415,15,1735,80,7,9,18
12/2/2014,Total probable cases,1809,73,32,3,73,45,0,18,149,478,2,784,128,5,16,3
12/2/2014,Total confirmed cases,2824,135,135,10,38,58,2,4,325,360,4,1595,114,7,19,18
12/2/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
12/2/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
12/2/2014,"Cumulative confirmed, probable and suspected cases",7690,292,558,38,151,148,10,36,645,1253,21,4114,322,19,44,39
