Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
11/29/2014,Specimens collected,,,,,,,,,,,,,,,,
11/29/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
11/29/2014,Total specimens tested,53,,,,,,,,,,,,,,,
11/29/2014,Newly reported deaths,7,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1
11/29/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
11/29/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
11/29/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
11/29/2014,"Total death/s in confirmed, 
 probable, suspected cases",3155,158,124,10,63,70,5,26,384,550,17,1648,53,8,25,14
11/29/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
11/29/2014,Newly reported contacts,19,0,0,0,2,0,0,0,7,0,10,0,0,0,0,
11/29/2014,Total contacts listed,,,,,,,,,,,,,,,,
11/29/2014,Currently under follow-up,6332,202,54,73,399,1,72,66,2145,27,3175,0,0,31,87,
11/29/2014,Contacts seen,5993,202,27,65,383,1,60,66,1913,27,3167,0,0,31,51,
11/29/2014,"Contacts who completed 21 day 
 follow-up",70,9,0,0,8,0,0,0,0,0,53,0,0,0,0,
11/29/2014,Contacts lost to follow-up,92,0,27,0,2,0,10,0,17,0,0,0,0,0,36,
11/29/2014,New admissions,,1,0,0,0,0,0,0,1,0,17,0,0,0,0,
11/29/2014,"Total no. currently in Treatment 
 Units",8,11,0,0,0,0,0,0,18,0,67,6,0,0,0,
11/29/2014,Total discharges,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/29/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
11/29/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2014,Cumulative cases among HCW,361,18,41,0,8,8,0,0,22,70,1,177,12,3,0,1
11/29/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2014,Cumulative deaths among HCW,174,14,16,0,4,4,0,0,16,38,0,80,2,0,0,0
11/29/2014,New Case/s (Suspected),7,0,0,0,2,0,0,1,0,1,0,2,0,0,1,0
11/29/2014,New Case/s (Probable),4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
11/29/2014,New case/s (confirmed),10,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0
11/29/2014,Total suspected cases,3053,84,391,25,44,45,8,14,171,415,15,1728,80,7,9,17
11/29/2014,Total probable cases,1792,69,32,3,66,50,0,17,149,478,2,774,128,5,16,3
11/29/2014,Total confirmed cases,2805,135,135,10,37,40,2,4,325,360,4,1595,114,7,19,18
11/29/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
11/29/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
11/29/2014,"Cumulative confirmed, probable and suspected cases",7650,288,558,38,147,135,10,35,645,1253,21,4097,322,19,44,38
