Date,Variable,National,Bomi County,Bong County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,RiverCess County
8/18/2014,Specimens collected,12,,3,,,,,,5,4,
8/18/2014,Specimens pending for testing,51,,6,2,1,,,4,16,22,
8/18/2014,Total specimens tested,,,,,,,,,,,
8/18/2014,Newly reported deaths,30,,4,,,,5,5,12,4,
8/18/2014,Total death/s in confirmed cases,206,8,9,1,3,,94,23,62,6,
8/18/2014,Total death/s in probable cases,237,6,11,1,1,,90,21,93,13,1
8/18/2014,Total death/s in suspected cases,122,,9,,2,1,34,19,51,6,
8/18/2014,"Total death/s in confirmed, probable, suspected cases",565,14,29,2,6,1,218,63,206,25,1
8/18/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,
8/18/2014,Newly reported contacts,281,,52,,,,,5,193,31,
8/18/2014,Total contacts listed,2308,64,300,10,31,,490,106,1149,152,6
8/18/2014,Currently under follow-up,1561,54,243,10,27,,358,83,688,94,4
8/18/2014,Contacts seen,1376,54,150,,27,,358,83,610,94,
8/18/2014,Contacts who completed 21 day follow-up,88,5,37,,,,,,46,,
8/18/2014,Contacts lost to follow-up,21,,4,,4,,,,13,,
8/18/2014,New admissions,14,,,,,,14,,,,
8/18/2014,Total no. currently in Treatment Units,164,,,,,,67,,97,,
8/18/2014,Total discharges,,,,,,,,,,,
8/18/2014,Cumulative admission/isolation,164,,,,,,67,,97,,
8/18/2014,Newly Reported Cases in HCW,1,,,,,,,,1,,
8/18/2014,Cumulative cases among HCW,113,4,24,3,3,,17,23,38,1,
8/18/2014,Newly Reported deaths in HCW,1,,,,,,,,1,,
8/18/2014,Cumulative deaths among HCW,58,4,4,,,,13,,21,,
8/18/2014,New Case/s (Suspected),19,,6,,,,,3,10,,
8/18/2014,New Case/s (Probable),35,,3,,,,14,,13,5,
8/18/2014,New case/s (confirmed),2,,2,,,,,,,,
8/18/2014,Total suspected cases,228,4,52,8,1,1,61,24,66,11,
8/18/2014,Total probable cases,500,28,28,1,3,,240,24,147,29,
8/18/2014,Total confirmed cases,236,9,20,6,4,,118,27,43,8,1
8/18/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,,,,2,,11,,,,
8/18/2014,Total Number of Confirmed Cases of Guinean Nationality,,,,,,,,,,,
