Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
12/8/2014,Specimens collected,,,,,,,,,,,,,,,,
12/8/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
12/8/2014,Total specimens tested,,,,,,,,,,,,,,,,
12/8/2014,Newly reported deaths,,,,,,,,,,,,,,,,
12/8/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
12/8/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
12/8/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
12/8/2014,"Total death/s in confirmed, 
 probable, suspected cases",3255,158,125,10,68,84,5,27,384,551,17,1725,53,8,26,14
12/8/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
12/8/2014,Newly reported contacts,,,,,,,,,,,,,,,,
12/8/2014,Total contacts listed,,,,,,,,,,,,,,,,
12/8/2014,Currently under follow-up,,,,,,,,,,,,,,,,
12/8/2014,Contacts seen,,,,,,,,,,,,,,,,
12/8/2014,"Contacts who completed 21 day 
 follow-up",,,,,,,,,,,,,,,,
12/8/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
12/8/2014,New admissions,,,,,,,,,,,,,,,,
12/8/2014,"Total no. currently in Treatment 
 Units",,,,,,,,,,,,,,,,
12/8/2014,Total discharges,,,,,,,,,,,,,,,,
12/8/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
12/8/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,
12/8/2014,Cumulative cases among HCW,,,,,,,,,,,,,,,,
12/8/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,,,
12/8/2014,Cumulative deaths among HCW,,,,,,,,,,,,,,,,
12/8/2014,New Case/s (Suspected),3054,83,390,26,43,48,8,14,171,412,15,1730,78,7,9,18
12/8/2014,New Case/s (Probable),1805,74,32,3,70,49,0,18,148,465,2,797,128,4,12,3
12/8/2014,New case/s (confirmed),2927,135,135,10,41,67,2,4,325,379,4,1667,114,7,20,16
12/8/2014,Total suspected cases,,,,,,,,,,,,,,,,
12/8/2014,Total probable cases,,,,,,,,,,,,,,,,
12/8/2014,Total confirmed cases,,,,,,,,,,,,,,,,
12/8/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
12/8/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
12/8/2014,"Cumulative confirmed, probable and suspected cases",7786,292,557,39,154,164,10,36,644,1256,21,4194,320,19,41,39
