Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
7/8/2014,Specimens collected,2,0,0,0,0,0,0,2,0,0,0,0
7/8/2014,Specimens pending for testing,5,0,0,0,3,0,0,2,0,0,0,0
7/8/2014,Total specimens tested,3,0,0,0,0,0,0,3,0,0,0,0
7/8/2014,Newly reported deaths,2,0,0,0,1,0,0,1,0,0,0,0
7/8/2014,Total death/s in confirmed cases,38,0,0,0,21,2,0,15,0,0,0,0
7/8/2014,Total death/s in probable cases,26,0,0,0,11,0,0,15,0,0,0,0
7/8/2014,Total death/s in suspected cases,16,0,0,0,10,0,0,6,0,0,0,0
7/8/2014,"Total death/s in confirmed, probable, suspected cases",80,0,0,0,42,2,0,36,0,0,0,0
7/8/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,69.6,0,0,0,58.2,66.7,0,88.2,0,0,0,0
7/8/2014,Newly reported contacts,55,0,0,0,50,0,0,5,0,0,0,0
7/8/2014,Total contacts listed,420,0,0,0,226,28,0,166,0,0,0,0
7/8/2014,Currently under follow-up,364,0,0,0,170,28,0,166,0,0,0,0
7/8/2014,Contacts seen,342,0,0,0,176,0,0,166,0,0,0,0
7/8/2014,Contacts who completed 21 day follow-up,6,0,0,0,6,0,0,0,0,0,0,0
7/8/2014,Contacts lost to follow-up,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2014,New admissions,1,0,0,0,0,0,0,1,0,0,0,0
7/8/2014,Total no. currently in Treatment Units,14,0,0,0,8,0,0,6,0,0,0,0
7/8/2014,Total discharges,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2014,Cumulative admission/isolation,14,0,0,0,8,0,0,6,0,0,0,0
7/8/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2014,Cumulative cases among HCW,10,0,0,0,5,0,0,5,0,0,0,0
7/8/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2014,Cumulative deaths among HCW,9,0,0,0,3,0,0,6,0,0,0,0
7/8/2014,New Case/s (Suspected),3,0,0,0,0,0,0,3,0,0,0,0
7/8/2014,New Case/s (Probable),0,0,0,0,0,0,0,0,0,0,0,0
7/8/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0
7/8/2014,Total suspected cases,41,0,0,0,31,0,0,10,0,0,0,0
7/8/2014,Total probable cases,30,0,0,0,16,2,0,12,0,0,0,0
7/8/2014,Total confirmed cases,62,0,0,0,39,1,0,22,0,0,0,0
7/8/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,4,0,0,0,4,0,0,0,0,0,0,0
7/8/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
