Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/15/2014,Specimens collected,12,5,0,0,0,0,0,6,0,0,0,1,0,0,
9/15/2014,Specimens pending for testing,12,5,0,0,0,0,0,6,0,0,0,1,0,0,
9/15/2014,Total specimens tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/15/2014,Newly reported deaths,30,2,4,0,0,0,0,3,4,0,15,2,0,0,0
9/15/2014,Total death/s in confirmed cases,629,27,12,0,13,6,0,172,36,0,330,32,0,0,1
9/15/2014,Total death/s in probable cases,526,28,14,0,3,3,0,170,98,4,154,51,0,1,0
9/15/2014,Total death/s in suspected cases,326,0,39,0,3,5,2,36,63,0,161,12,5,0,0
9/15/2014,"Total death/s in confirmed, probable, suspected cases",1481,55,65,0,19,14,2,378,197,4,645,95,5,1,1
9/15/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,
9/15/2014,Newly reported contacts,400,0,51,0,0,0,0,0,27,0,322,0,0,0,0
9/15/2014,Total contacts listed,9274,410,671,0,61,80,0,432,1537,6,5494,544,17,6,16
9/15/2014,Currently under follow-up,4885,104,187,0,61,77,0,291,1537,6,2265,350,3,4,0
9/15/2014,Contacts seen,4711,156,187,0,0,0,0,276,1537,0,2205,350,0,0,0
9/15/2014,Contacts who completed 21 day follow-up,151,0,16,0,0,0,0,0,0,0,124,11,0,0,0
9/15/2014,Contacts lost to follow-up,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9/15/2014,New admissions,21,0,2,0,0,0,0,1,0,0,18,0,0,0,0
9/15/2014,Total no. currently in Treatment Units,241,0,2,0,0,0,0,21,0,0,218,0,0,0,0
9/15/2014,Total discharges,9,0,0,0,0,0,0,1,0,0,8,0,0,0,0
9/15/2014,Cumulative admission/isolation,248,0,2,0,0,0,0,22,0,0,224,0,0,0,0
9/15/2014,Newly Reported Cases in HCW,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0
9/15/2014,Cumulative cases among HCW,170,5,26,0,3,3,0,20,37,0,71,7,0,0,0
9/15/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2014,Cumulative deaths among HCW,83,5,6,0,1,0,0,17,19,0,33,2,0,0,0
9/15/2014,New Case/s (Suspected),44,0,7,0,0,0,0,0,4,0,33,0,0,0,0
9/15/2014,New Case/s (Probable),54,1,3,0,0,0,0,1,5,0,20,24,0,0,0
9/15/2014,New case/s (confirmed),15,0,3,0,0,0,0,2,0,0,0,10,0,0,0
9/15/2014,Total suspected cases,713,7,118,1,19,6,3,53,202,2,269,25,6,0,2
9/15/2014,Total probable cases,1268,44,51,0,17,5,0,398,221,4,438,87,3,0,0
9/15/2014,Total confirmed cases,823,33,53,0,18,6,0,266,34,0,352,59,0,1,1
9/15/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,11,1,0,0,0,0,0,0
9/15/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
