Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/4/2014,Specimens collected,6,0,0,0,0,0,0,0,0,0,6,0,0,0
9/4/2014,Specimens pending for testing,20,3,3,0,0,0,0,7,0,0,6,1,0,0
9/4/2014,Total specimens tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/2014,Newly reported deaths,36,1,0,0,0,1,0,7,3,22,2,0,0,0
9/4/2014,Total death/s in confirmed cases,444,19,11,0,13,4,0,151,25,193,28,0,0,0
9/4/2014,Total death/s in probable cases,406,16,13,0,3,3,0,149,50,134,37,0,1,0
9/4/2014,Total death/s in suspected cases,264,0,19,0,3,4,2,34,39,146,12,5,0,0
9/4/2014,"Total death/s in confirmed, probable, suspected cases",1114,35,43,0,19,11,2,334,114,473,77,5,1,0
9/4/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/4/2014,Newly reported contacts,136,6,0,0,0,0,0,0,29,101,0,0,0,0
9/4/2014,Total contacts listed,6168,146,493,0,61,41,0,760,980,3290,382,9,6,0
9/4/2014,Currently under follow-up,3412,51,311,0,61,41,0,178,889,1670,198,9,4,0
9/4/2014,Contacts seen,2956,51,0,0,0,41,0,178,889,1599,198,0,0,0
9/4/2014,Contacts who completed 21 day follow-up,154,0,0,0,0,0,0,8,56,90,0,0,0,0
9/4/2014,Contacts lost to follow-up,12,0,0,0,0,0,0,0,0,12,0,0,0,0
9/4/2014,New admissions,24,0,0,0,0,0,0,12,0,12,0,0,0,0
9/4/2014,Total no. currently in Treatment Units,274,0,0,0,0,0,0,69,0,205,0,0,0,0
9/4/2014,Total discharges,8,0,0,0,0,0,0,2,0,6,0,0,0,0
9/4/2014,Cumulative admission/isolation,274,0,0,0,0,0,0,69,0,205,0,0,0,0
9/4/2014,Newly Reported Cases in HCW,3,0,0,0,0,0,0,0,0,3,0,0,0,0
9/4/2014,Cumulative cases among HCW,156,5,26,0,3,3,0,20,32,64,3,0,0,0
9/4/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/2014,Cumulative deaths among HCW,76,4,5,0,1,0,0,17,19,30,0,0,0,0
9/4/2014,New Case/s (Suspected),14,0,0,0,0,1,0,0,4,5,4,0,0,0
9/4/2014,New Case/s (Probable),26,2,0,0,0,0,0,12,5,5,2,0,0,0
9/4/2014,New case/s (confirmed),12,0,0,0,0,0,0,11,0,1,0,0,0,0
9/4/2014,Total suspected cases,383,1,85,1,21,3,3,53,130,55,24,6,0,1
9/4/2014,Total probable cases,912,34,41,0,12,5,0,357,94,314,52,3,0,0
9/4/2014,Total confirmed cases,620,31,24,0,13,4,0,249,30,226,41,0,1,1
9/4/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/4/2014,Total Number of Confirmed Cases of Guinean Nationality,1,0,0,0,0,0,0,0,0,1,0,0,0,0
