Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,RiverCess County
8/2/2014,Specimens collected,11,,,,,,,,,,7,4,
8/2/2014,Specimens pending for testing,20,4,9,,1,,,,1,,1,4,
8/2/2014,Total specimens tested,18,,,,,,,11,,,7,,
8/2/2014,Newly reported deaths,13,0,0,,0,0,,6,0,,6,1,0
8/2/2014,Total death/s in confirmed cases,118,6,4,,0,1,,55,2,,48,2,0
8/2/2014,Total death/s in probable cases,99,2,6,,1,1,,37,0,,48,3,1
8/2/2014,Total death/s in suspected cases,40,0,1,,,0,,15,3,,21,0,0
8/2/2014,"Total death/s in confirmed, probable, suspected cases",257,8,11,,1,2,,107,5,,117,5,1
8/2/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,
8/2/2014,Newly reported contacts,5,0,0,,0,,,0,0,,0,5,
8/2/2014,Total contacts listed,940,46,51,,3,,,228,28,,529,55,
8/2/2014,Currently under follow-up,899,45,51,,3,,,220,5,,529,46,
8/2/2014,Contacts seen,738,37,,,,,,220,,,435,46,
8/2/2014,Contacts who completed 21 day follow-up,7,0,,,,,,,,,,7,
8/2/2014,Contacts lost to follow-up,2,0,,,,,,,,,,2,
8/2/2014,New admissions,11,,,,,,,9,,,2,,
8/2/2014,Total no. currently in Treatment Units,40,,,,,,,28,,,12,,
8/2/2014,Total discharges,5,,,,,,,3,,,2,,
8/2/2014,Cumulative admission/isolation,40,,,,,,,28,,,12,,
8/2/2014,Newly Reported Cases in HCW,0,0,0,,,,,0,,,0,,
8/2/2014,Cumulative cases among HCW,60,4,23,,,,,15,,,17,1,
8/2/2014,Newly Reported deaths in HCW,0,0,0,,,,,0,,,0,,
8/2/2014,Cumulative deaths among HCW,35,4,3,,,,,8,,,20,,
8/2/2014,New Case/s (Suspected),2,,,,,,,,,,2,,
8/2/2014,New Case/s (Probable),9,,,,,,,4,,,4,1,
8/2/2014,New case/s (confirmed),0,,,,,,,,,,,,
8/2/2014,Total suspected cases,107,,27,,,,,55,5,,17,3,
8/2/2014,Total probable cases,232,16,16,,1,1,,121,2,,69,5,1
8/2/2014,Total confirmed cases,132,7,10,,,3,,63,2,,42,5,
8/2/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,12,,,,,1,,11,,,,,
8/2/2014,Total Number of Confirmed Cases of Guinean Nationality,,,,,,,,,,,,,
