Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
09/27/2014,Specimens collected,,,,,,,,,,,,,,,,
09/27/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
09/27/2014,Total specimens tested,,,,,,,,,,,,,,,,
09/27/2014,Newly reported deaths,8,0,2,0,0,0,0,0,1,1,0,3,1,0,0,0
09/27/2014,Total death/s in confirmed cases,883,29,14,0,17,6,0,5,190,40,0,528,49,0,3,2
09/27/2014,Total death/s in probable cases,660,33,21,0,9,3,0,4,199,124,5,188,71,0,3,0
09/27/2014,Total death/s in suspected cases,440,4,72,0,7,5,2,1,38,75,3,211,14,6,2,0
09/27/2014,"Total death/s in confirmed, probable, suspected cases",1983,66,107,0,33,14,2,10,427,239,8,927,134,6,8,2
09/27/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
09/27/2014,Newly reported contacts,121,0,0,0,0,0,0,0,0,20,0,96,0,0,0,5
09/27/2014,Total contacts listed,13037,549,767,0,263,80,20,38,664,2008,6,7634,840,19,91,58
09/27/2014,Currently under follow-up,6625,441,170,0,161,77,20,7,317,1804,6,3045,471,4,44,58
09/27/2014,Contacts seen,6299,440,170,0,161,0,0,0,317,1705,0,3035,471,0,0,0
09/27/2014,Contacts who completed 21 day follow-up,247,0,0,0,0,0,0,0,0,96,0,148,3,0,0,0
09/27/2014,Contacts lost to follow-up,19,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0
09/27/2014,New admissions,,,,,,,,,,,,,,,,
09/27/2014,Total no. currently in Treatment Units,,,,,,,,,,,,,,,,
09/27/2014,Total discharges,,,,,,,,,,,,,,,,
09/27/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
09/27/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/27/2014,Cumulative cases among HCW,183,6,26,0,3,3,0,0,21,42,0,74,8,0,0,0
09/27/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/27/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
09/27/2014,New Case/s (Suspected),19,0,2,0,0,0,0,0,0,3,0,13,0,0,0,1
09/27/2014,New Case/s (Probable),16,0,0,0,0,0,0,0,1,6,0,9,0,0,0,0
09/27/2014,New case/s (confirmed),2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
09/27/2014,Total suspected cases,1103,7,184,1,31,6,3,3,57,276,3,479,33,11,3,6
09/27/2014,Total probable cases,1642,45,68,0,41,5,0,7,440,306,5,585,133,4,3,0
09/27/2014,Total confirmed cases,919,33,66,0,47,6,0,6,281,39,0,354,77,2,4,4
09/27/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
09/27/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
