Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/12/2014,Specimens collected,,,,,,,,,,,,,,,
9/12/2014,Specimens pending for testing,,,,,,,,,,,,,,,
9/12/2014,Total specimens tested,,,,,,,,,,,,,,,
9/12/2014,Newly reported deaths,53,1,0,0,0,0,0,2,10,0,40,0,0,0,0
9/12/2014,Total death/s in confirmed cases,604,27,12,0,13,6,0,170,34,0,309,32,0,0,1
9/12/2014,Total death/s in probable cases,500,25,14,0,3,3,0,167,88,4,148,47,0,1,0
9/12/2014,Total death/s in suspected cases,298,0,30,0,3,5,2,36,58,0,147,12,5,0,0
9/12/2014,"Total death/s in confirmed, probable, suspected cases",1402,52,56,0,19,14,2,373,180,4,604,91,5,1,1
9/12/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,
9/12/2014,Newly reported contacts,455,18,16,0,0,0,0,18,35,0,368,0,0,0,0
9/12/2014,Total contacts listed,8027,350,614,0,61,80,0,409,1322,6,4602,544,17,6,16
9/12/2014,Currently under follow-up,4307,170,209,0,61,80,0,270,982,6,2180,342,3,4,0
9/12/2014,Contacts seen,3580,72,0,0,0,77,0,289,982,6,2151,0,3,0,0
9/12/2014,Contacts who completed 21 day follow-up,166,54,9,0,0,0,0,18,0,0,55,0,14,0,16
9/12/2014,Contacts lost to follow-up,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2014,New admissions,36,1,0,0,0,0,0,2,0,0,33,0,0,0,0
9/12/2014,Total no. currently in Treatment Units,237,0,0,0,0,0,0,21,0,0,216,0,0,0,0
9/12/2014,Total discharges,14,0,0,0,0,0,0,8,0,0,6,0,0,0,0
9/12/2014,Cumulative admission/isolation,237,0,0,0,0,0,0,21,0,0,216,0,0,0,0
9/12/2014,Newly Reported Cases in HCW,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0
9/12/2014,Cumulative cases among HCW,170,5,26,0,3,3,0,20,37,0,70,6,0,0,0
9/12/2014,Newly Reported deaths in HCW,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9/12/2014,Cumulative deaths among HCW,80,5,6,0,1,0,0,17,19,0,32,0,0,0,0
9/12/2014,New Case/s (Suspected),38,1,3,0,0,1,0,0,3,2,28,0,0,0,0
9/12/2014,New Case/s (Probable),37,0,1,0,0,0,0,2,9,4,21,0,0,0,0
9/12/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2014,Total suspected cases,630,6,107,1,21,6,3,53,191,3,204,27,6,0,2
9/12/2014,Total probable cases,1182,43,47,0,12,5,0,388,198,9,410,67,3,0,0
9/12/2014,Total confirmed cases,790,33,44,0,13,6,0,260,33,0,352,47,0,1,1
9/12/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,11,1,0,0,0,0,0,0
9/12/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
