Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/2/2014,Specimens collected,5,0,3,0,0,0,0,0,0,0,1,1,0,0
9/2/2014,Specimens pending for testing,16,3,3,0,0,0,0,8,0,0,1,1,0,0
9/2/2014,Total specimens tested,29,0,0,0,0,0,0,0,0,29,0,0,0,0
9/2/2014,Newly reported deaths,47,0,0,0,7,1,0,5,5,29,0,0,0,0
9/2/2014,Total death/s in confirmed cases,414,19,11,0,13,4,0,146,25,169,27,0,0,0
9/2/2014,Total death/s in probable cases,390,15,13,0,3,2,0,140,49,133,34,0,1,0
9/2/2014,Total death/s in suspected cases,247,0,17,0,3,3,2,34,37,135,11,5,0,0
9/2/2014,"Total death/s in confirmed, probable, suspected cases",1051,34,41,0,19,9,2,320,111,437,72,5,1,0
9/2/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/2/2014,Newly reported contacts,255,9,1,0,28,0,0,4,47,157,0,9,0,0
9/2/2014,Total contacts listed,5743,131,476,0,61,30,0,760,951,2990,329,9,6,0
9/2/2014,Currently under follow-up,3134,32,294,0,61,25,0,226,860,1478,145,9,4,0
9/2/2014,Contacts seen,3080,32,294,0,61,25,0,226,860,1432,145,5,0,0
9/2/2014,Contacts who completed 21 day follow-up,81,0,0,0,0,0,0,14,0,67,0,0,0,0
9/2/2014,Contacts lost to follow-up,5,0,0,0,0,0,0,0,0,1,0,4,0,0
9/2/2014,New admissions,17,0,0,0,0,0,0,0,0,17,0,0,0,0
9/2/2014,Total no. currently in Treatment Units,76,0,0,0,0,0,0,70,0,206,0,0,0,0
9/2/2014,Total discharges,16,0,0,0,0,0,0,2,0,14,0,0,0,0
9/2/2014,Cumulative admission/isolation,76,0,0,0,0,0,0,70,0,206,0,0,0,0
9/2/2014,Newly Reported Cases in HCW,2,0,0,0,0,0,0,0,0,2,0,0,0,0
9/2/2014,Cumulative cases among HCW,151,5,26,0,3,3,0,20,32,59,3,0,0,0
9/2/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2014,Cumulative deaths among HCW,74,4,5,0,1,0,0,17,19,28,0,0,0,0
9/2/2014,New Case/s (Suspected),35,0,2,0,3,0,0,0,7,22,0,1,0,0
9/2/2014,New Case/s (Probable),38,0,4,0,1,0,0,10,7,13,0,3,0,0
9/2/2014,New case/s (confirmed),3,0,0,0,2,0,0,0,0,0,1,0,0,0
9/2/2014,Total suspected cases,366,1,83,1,21,2,3,63,126,42,17,6,0,1
9/2/2014,Total probable cases,883,31,40,0,12,4,0,345,89,309,50,3,0,0
9/2/2014,Total confirmed cases,590,31,24,0,13,4,0,220,30,225,41,0,1,1
9/2/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/2/2014,Total Number of Confirmed Cases of Guinean Nationality,1,0,0,0,0,0,0,0,0,1,0,0,0,0
