Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
10/21/2014,Specimens collected,,,,,,,,,,,,,,,,
10/21/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
10/21/2014,Total specimens tested,,,,,,,,,,,,,,,,
10/21/2014,Newly reported deaths,23,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0
10/21/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
10/21/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
10/21/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
10/21/2014,"Total death/s in confirmed,  probable, suspected cases",2770,71,182,3,42,30,2,17,465,353,10,1438,138,6,8,5
10/21/2014,"Case Fatality Rate (CFR) - Confirmed & Probable Cases",,,,,,,,,,,,,,,,
10/21/2014,Newly reported contacts,90,0,0,0,0,56,2,0,0,0,0,32,0,0,0,0
10/21/2014,Total contacts listed,19155,686,1307,121,405,267,58,69,756,3036,17,11299,893,31,113,97
10/21/2014,Currently under follow-up,8677,470,215,71,45,247,3,7,328,1757,17,4863,488,3,66,97
10/21/2014,Contacts seen,5068,0,0,0,0,247,0,0,0,0,0,4821,0,0,0,0
10/21/2014,"Contacts who completed 21 day follow-up",299,0,0,0,0,0,0,0,33,0,0,266,0,0,0,0
10/21/2014,Contacts lost to follow-up,38,0,0,1,0,21,0,0,0,15,0,1,0,0,0,0
10/21/2014,New admissions,48,1,0,0,0,0,0,0,0,0,0,45,2,0,0,0
10/21/2014,"Total no. currently in Treatment Units",390,14,0,0,9,0,0,0,5,0,0,352,10,0,0,0
10/21/2014,Total discharges,34,3,0,0,0,0,0,0,0,0,0,25,6,0,0,0
10/21/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
10/21/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014,Cumulative cases among HCW,228,6,26,0,3,3,0,0,23,58,0,96,10,2,0,1
10/21/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014,Cumulative deaths among HCW,101,5,7,0,1,0,0,0,18,27,0,34,8,1,0,0
10/21/2014,New Case/s (Suspected),25,1,,,,2,1,,,,,20,1,,,0
10/21/2014,New Case/s (Probable),3,0,,,,0,0,,,,,2,1,,,
10/21/2014,New case/s (confirmed),0,0,,,,0,0,,,,,0,0,,,0
10/21/2014,Total suspected cases,,,,,,,,,,,,,,,,
10/21/2014,Total probable cases,,,,,,,,,,,,,,,,
10/21/2014,Total confirmed cases,,,,,,,,,,,,,,,,
10/21/2014,"Total Number of Confirmed Cases of Sierra Leonean Nationality",13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
10/21/2014,"Total Number of Confirmed Cases of Guinean Nationality",4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10/21/2014,"Cumulative confirmed, probable and suspected cases",4772,96,481,10,147,43,4,41,818,632,8,2158,282,19,10,23
