Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/20/2014,Specimens collected,,,,,,,,,,,,,,,,
9/20/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
9/20/2014,Total specimens tested,,,,,,,,,,,,,,,,
9/20/2014,Newly reported deaths,,,,,,,,,,,,,,,,
9/20/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
9/20/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
9/20/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
9/20/2014,"Total death/s in confirmed, probable, suspected cases",,,,,,,,,,,,,,,,
9/20/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
9/20/2014,Newly reported contacts,,,,,,,,,,,,,,,,
9/20/2014,Total contacts listed,,,,,,,,,,,,,,,,
9/20/2014,Currently under follow-up,,,,,,,,,,,,,,,,
9/20/2014,Contacts seen,,,,,,,,,,,,,,,,
9/20/2014,Contacts who completed 21 day follow-up,,,,,,,,,,,,,,,,
9/20/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
9/20/2014,New admissions,,,,,,,,,,,,,,,,
9/20/2014,Total no. currently in Treatment Units,,,,,,,,,,,,,,,,
9/20/2014,Total discharges,,,,,,,,,,,,,,,,
9/20/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
9/20/2014,Newly Reported Cases in HCW,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
9/20/2014,Cumulative cases among HCW,179,6,26,0,3,3,0,0,21,41,0,72,7,0,0,0
9/20/2014,Newly Reported deaths in HCW,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/2014,Cumulative deaths among HCW,85,5,7,0,1,0,0,0,17,20,0,33,2,0,0,0
9/20/2014,New Case/s (Suspected),10,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0
9/20/2014,New Case/s (Probable),26,0,4,0,2,0,0,0,4,2,0,0,14,0,0,0
9/20/2014,New case/s (confirmed),5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
9/20/2014,Total suspected cases,832,7,129,1,28,6,3,0,53,221,3,333,31,9,3,5
9/20/2014,Total probable cases,1376,45,57,0,33,5,0,0,416,232,5,469,108,3,3,0
9/20/2014,Total confirmed cases,866,33,53,0,42,6,0,0,275,37,0,352,60,0,4,4
9/20/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
9/20/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
