Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/11/2014,Specimens collected,16,5,0,0,0,0,0,11,0,0,0,0,0,0,0
9/11/2014,Specimens pending for testing,16,5,0,0,0,0,0,11,0,0,0,0,0,0,0
9/11/2014,Total specimens tested,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0
9/11/2014,Newly reported deaths,53,2,7,0,0,0,0,3,8,0,32,1,0,0,0
9/11/2014,Total death/s in confirmed cases,584,27,12,0,13,6,0,169,34,0,290,32,0,0,1
9/11/2014,Total death/s in probable cases,484,24,14,0,3,3,0,166,78,4,144,47,0,1,0
9/11/2014,Total death/s in suspected cases,281,0,30,0,3,5,2,36,58,0,130,12,5,0,0
9/11/2014,"Total death/s in confirmed, probable, suspected cases",1349,51,56,0,19,14,2,371,170,4,564,91,5,1,1
9/11/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,
9/11/2014,Newly reported contacts,419,60,10,0,0,11,0,0,45,0,236,57,0,0,0
9/11/2014,Total contacts listed,7500,332,534,0,61,80,0,391,1287,6,4234,544,9,6,16
9/11/2014,Currently under follow-up,3844,224,209,0,61,80,0,95,982,6,1816,342,9,4,16
9/11/2014,Contacts seen,3745,224,190,0,0,80,0,95,982,0,1816,342,0,0,16
9/11/2014,Contacts who completed 21 day follow-up,120,54,0,0,0,0,0,24,0,0,26,0,0,0,16
9/11/2014,Contacts lost to follow-up,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0
9/11/2014,New admissions,59,0,0,0,0,0,0,7,0,0,52,0,0,0,0
9/11/2014,Total no. currently in Treatment Units,230,0,0,0,0,0,0,30,0,0,200,0,0,0,0
9/11/2014,Total discharges,25,0,0,0,0,0,0,7,0,0,18,0,0,0,0
9/11/2014,Cumulative admission/isolation,230,0,0,0,0,0,0,30,0,0,200,0,0,0,0
9/11/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/11/2014,Cumulative cases among HCW,170,5,26,0,3,3,0,20,37,0,70,6,0,0,0
9/11/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2014,Cumulative deaths among HCW,80,5,6,0,1,0,0,17,19,0,32,0,0,0,0
9/11/2014,New Case/s (Suspected),53,1,11,0,0,0,0,0,8,0,32,1,0,0,0
9/11/2014,New Case/s (Probable),67,3,4,0,0,0,0,7,11,0,36,6,0,0,0
9/11/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2014,Total suspected cases,592,5,104,1,21,5,3,53,188,1,176,27,6,0,2
9/11/2014,Total probable cases,1145,43,46,0,12,5,0,386,189,5,389,67,3,0,0
9/11/2014,Total confirmed cases,790,33,44,0,13,6,0,260,33,0,352,47,0,1,1
9/11/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,14,0,0,0,0,2,0,11,1,0,0,0,0,0,0
9/11/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
