Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
6/17/2014,Specimens collected,2,,,,2,,,0,,,,
6/17/2014,Specimens pending for testing,7,,,,7,,,0,,,,
6/17/2014,Total specimens tested,34,,,,27,,,7,,,,
6/17/2014,Newly reported deaths,0,,,,0,,,0,,,,
6/17/2014,Total death/s in confirmed cases,8,,,,4,,,4,,,,
6/17/2014,Total death/s in probable cases,6,,,,2,,,4,,,,
6/17/2014,Total death/s in suspected cases,2,,,,2,,,0,,,,
6/17/2014,"Total death/s in confirmed, probable, suspected cases",16,,,,8,,,8,,,,
6/17/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,
6/17/2014,Newly reported contacts,0,,,,0,,,0,,,,
6/17/2014,Total contacts listed,108,,,,95,,,13,,,,
6/17/2014,Currently under follow-up,95,,,,95,,,0,,,,
6/17/2014,Contacts seen,90,,,,90,,,0,,,,
6/17/2014,Contacts who completed 21 day follow-up,11,,,,11,,,0,,,,
6/17/2014,Contacts lost to follow-up,0,,,,0,,,0,,,,
6/17/2014,New admissions,2,,,,2,,,0,,,,
6/17/2014,Total no. currently in Treatment Units,10,,,,10,,,0,,,,
6/17/2014,Total discharges,0,,,,0,,,0,,,,
6/17/2014,Cumulative admission/isolation,10,,,,10,,,0,,,,
6/17/2014,Newly Reported Cases in HCW,0,,,,,,,,,,,
6/17/2014,Cumulative cases among HCW,1,,,,0,,,1,,,,
6/17/2014,Newly Reported deaths in HCW,0,,,,0,,,0,,,,
6/17/2014,Cumulative deaths among HCW,1,,,,0,,,1,,,,
6/17/2014,New Case/s (Suspected),2,,,,2,,,0,,,,
6/17/2014,New Case/s (Probable),0,,,,0,,,0,,,,
6/17/2014,New case/s (confirmed),0,,,,0,,,0,,,,
6/17/2014,Total suspected cases,8,,,,8,,,0,,,,
6/17/2014,Total probable cases,6,,,,2,,,5,,,,
6/17/2014,Total confirmed cases,12,,,,8,,,5,,,,
6/17/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,1,,,,1,,,0,,,,
6/17/2014,Total Number of Confirmed Cases of Guinean Nationality,0,,,,,,,,,,,
