Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/7/2014,Specimens collected,7,7,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2014,Specimens pending for testing,7,7,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2014,Total specimens tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2014,Newly reported deaths,22,4,0,0,0,0,0,3,6,6,3,0,0,0
9/7/2014,Total death/s in confirmed cases,509,27,11,0,13,4,0,162,29,232,31,0,0,0
9/7/2014,Total death/s in probable cases,427,18,13,0,3,3,0,154,59,134,42,0,1,0
9/7/2014,Total death/s in suspected cases,299,0,22,0,3,5,2,35,53,162,12,5,0,0
9/7/2014,"Total death/s in confirmed, probable, suspected cases",1235,45,46,0,19,12,2,351,141,528,85,5,1,0
9/7/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/7/2014,Newly reported contacts,113,6,0,0,0,0,0,59,0,0,48,0,0,0
9/7/2014,Total contacts listed,6145,146,514,0,61,41,0,331,1081,3526,430,9,6,0
9/7/2014,Currently under follow-up,3520,42,274,0,61,41,0,161,923,1759,246,9,4,0
9/7/2014,Contacts seen,3395,42,274,0,0,41,0,161,923,1708,246,0,0,0
9/7/2014,Contacts who completed 21 day follow-up,18,0,0,0,0,0,0,5,0,13,0,0,0,0
9/7/2014,Contacts lost to follow-up,2,2,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2014,New admissions,10,0,0,0,0,0,0,5,0,5,0,0,0,
9/7/2014,Total no. currently in Treatment Units,213,0,0,0,0,0,0,51,0,162,0,0,0,0
9/7/2014,Total discharges,9,0,0,0,0,0,0,9,0,0,0,0,0,
9/7/2014,Cumulative admission/isolation,213,0,0,0,0,0,0,51,0,162,0,0,0,0
9/7/2014,Newly Reported Cases in HCW,3,0,0,0,0,0,0,0,2,1,0,0,0,0
9/7/2014,Cumulative cases among HCW,163,5,26,0,3,3,0,20,34,69,3,0,0,0
9/7/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2014,Cumulative deaths among HCW,78,5,5,0,1,0,0,17,19,31,0,0,0,0
9/7/2014,New Case/s (Suspected),6,0,0,0,0,0,0,0,1,5,0,0,0,0
9/7/2014,New Case/s (Probable),9,4,0,0,0,0,0,0,3,0,2,0,0,0
9/7/2014,New case/s (confirmed),20,0,8,0,0,0,0,3,3,0,6,0,0,0
9/7/2014,Total suspected cases,449,4,88,1,21,4,3,53,160,84,24,6,0,1
9/7/2014,Total probable cases,976,34,41,0,12,5,0,369,127,327,58,3,0,0
9/7/2014,Total confirmed cases,648,33,36,0,13,4,0,254,33,226,47,0,1,1
9/7/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/7/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,1,0,0,0,0
