Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/14/2014,Specimens collected,8,0,0,0,0,2,0,6,0,0,0,0,0,0,0
9/14/2014,Specimens pending for testing,8,0,0,0,0,2,0,6,0,0,0,0,0,0,0
9/14/2014,Total specimens tested,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
9/14/2014,Newly reported deaths,37,0,5,0,0,0,0,1,9,0,22,0,0,0,0
9/14/2014,Total death/s in confirmed cases,626,27,12,0,13,6,0,171,36,0,328,32,0,0,1
9/14/2014,Total death/s in probable cases,517,26,14,0,3,3,0,168,96,4,154,48,0,1,0
9/14/2014,Total death/s in suspected cases,307,0,35,0,3,5,2,36,61,0,148,12,5,0,0
9/14/2014,"Total death/s in confirmed, probable, suspected cases",1450,53,61,0,19,14,2,375,193,4,630,92,5,1,1
9/14/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,56.1,70,27,0,46,82,0,51,52,100,63,66,0,100,100
9/14/2014,Newly reported contacts,210,0,0,0,0,0,0,0,29,0,181,0,0,0,0
9/14/2014,Total contacts listed,8406,410,620,0,61,80,0,432,1373,6,4841,544,17,6,16
9/14/2014,Currently under follow-up,4199,104,200,0,61,77,0,291,912,6,2180,361,3,4,0
9/14/2014,Contacts seen,3641,0,200,0,0,77,0,291,912,6,2155,0,0,0,0
9/14/2014,Contacts who completed 21 day follow-up,20,0,0,0,0,0,0,8,0,0,12,0,0,0,0
9/14/2014,Contacts lost to follow-up,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/14/2014,New admissions,31,0,0,0,0,0,0,3,0,0,28,0,0,0,0
9/14/2014,Total no. currently in Treatment Units,246,0,0,0,0,0,0,22,0,0,224,0,0,0,0
9/14/2014,Total discharges,11,0,0,0,0,0,0,2,0,0,9,0,0,0,0
9/14/2014,Cumulative admission/isolation,246,0,0,0,0,0,0,22,0,0,224,0,0,0,0
9/14/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/14/2014,Cumulative cases among HCW,170,5,26,0,3,3,0,20,37,0,71,6,0,0,0
9/14/2014,Newly Reported deaths in HCW,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9/14/2014,Cumulative deaths among HCW,83,5,6,0,1,0,0,17,19,0,33,2,0,0,0
9/14/2014,New Case/s (Suspected),24,0,4,0,0,0,0,0,2,0,18,0,0,0,0
9/14/2014,New Case/s (Probable),19,0,1,0,0,0,0,3,10,0,5,0,0,0,0
9/14/2014,New case/s (confirmed),4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
9/14/2014,Total suspected cases,675,7,111,1,19,6,3,53,202,2,236,27,6,0,2
9/14/2014,Total probable cases,1231,43,48,0,17,5,0,397,221,4,418,75,3,0,0
9/14/2014,Total confirmed cases,806,33,50,0,18,6,0,264,34,0,352,47,0,1,1
9/14/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,11,1,0,0,0,0,0,0
9/14/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
