Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
7/10/2014,Specimens collected,6,0,0,0,2,0,0,4,0,0,0,0
7/10/2014,Specimens pending for testing,3,0,0,0,2,0,0,1,0,0,0,0
7/10/2014,Total specimens tested,9,0,0,0,5,0,0,4,0,0,0,0
7/10/2014,Newly reported deaths,4,0,0,0,3,0,0,1,0,0,0,0
7/10/2014,Total death/s in confirmed cases,40,1,0,0,23,2,0,14,0,0,0,0
7/10/2014,Total death/s in probable cases,28,0,0,0,13,0,0,15,0,0,0,0
7/10/2014,Total death/s in suspected cases,17,0,0,0,10,0,0,7,0,0,0,0
7/10/2014,"Total death/s in confirmed, probable, suspected cases",85,1,0,0,46,2,0,36,0,0,0,0
7/10/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,
7/10/2014,Newly reported contacts,43,0,0,0,7,0,0,36,0,0,0,0
7/10/2014,Total contacts listed,364,0,0,0,134,28,0,202,0,0,0,0
7/10/2014,Currently under follow-up,305,0,0,0,134,5,0,166,0,0,0,0
7/10/2014,Contacts seen,256,0,0,0,85,5,0,166,0,0,0,0
7/10/2014,Contacts who completed 21 day follow-up,22,0,0,0,22,0,0,0,0,0,0,0
7/10/2014,Contacts lost to follow-up,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2014,New admissions,2,0,0,0,0,0,0,2,0,0,0,0
7/10/2014,Total no. currently in Treatment Units,10,0,0,0,3,0,0,7,0,0,0,0
7/10/2014,Total discharges,3,0,0,0,3,0,0,0,0,0,0,0
7/10/2014,Cumulative admission/isolation,10,0,0,0,3,0,0,7,0,0,0,0
7/10/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2014,Cumulative cases among HCW,10,0,0,0,5,0,0,5,0,0,0,0
7/10/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2014,Cumulative deaths among HCW,9,0,0,0,4,0,0,5,0,0,0,0
7/10/2014,New Case/s (Suspected),2,0,0,0,0,0,0,2,0,0,0,0
7/10/2014,New Case/s (Probable),1,0,0,0,0,0,0,1,0,0,0,0
7/10/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0
7/10/2014,Total suspected cases,42,0,0,0,32,0,0,10,0,0,0,0
7/10/2014,Total probable cases,31,0,0,0,16,2,0,13,0,0,0,0
7/10/2014,Total confirmed cases,64,1,0,0,39,1,0,23,0,0,0,0
7/10/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,4,0,0,0,4,0,0,0,0,0,0,0
7/10/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
