Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/5/2014,Specimens collected,7,0,0,0,0,0,0,0,0,1,0,0,0,
9/5/2014,Specimens pending for testing,7,3,0,0,0,0,7,0,0,0,1,0,0,
9/5/2014,Total specimens tested,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/5/2014,Newly reported deaths,51,1,1,0,0,0,0,7,7,30,5,0,0,0
9/5/2014,Total death/s in confirmed cases,480,27,11,0,13,4,0,155,25,215,30,0,0,0
9/5/2014,Total death/s in probable cases,412,14,13,0,3,3,0,151,53,134,40,0,1,0
9/5/2014,Total death/s in suspected cases,277,0,20,0,3,4,2,35,42,154,12,5,0,0
9/5/2014,"Total death/s in confirmed, probable, suspected cases",1169,41,44,0,19,11,2,341,120,503,82,5,1,0
9/5/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/5/2014,Newly reported contacts,139,0,11,0,0,0,0,6,47,75,0,0,0,0
9/5/2014,Total contacts listed,5834,146,504,0,61,41,0,266,1027,3392,382,9,6,0
9/5/2014,Currently under follow-up,3488,90,322,0,61,41,0,176,880,1707,198,9,4,0
9/5/2014,Contacts seen,3367,90,322,0,0,41,0,176,880,1660,198,0,0,0
9/5/2014,Contacts who completed 21 day follow-up,149,54,58,0,0,0,0,0,0,37,0,0,0,0
9/5/2014,Contacts lost to follow-up,2,2,0,0,0,0,0,0,0,0,0,0,0,0
9/5/2014,New admissions,40,0,0,0,0,0,0,8,0,32,0,0,0,0
9/5/2014,Total no. currently in Treatment Units,270,0,0,0,0,0,0,62,0,208,0,0,0,0
9/5/2014,Total discharges,21,0,0,0,0,0,0,10,0,11,0,0,0,0
9/5/2014,Cumulative admission/isolation,270,0,0,0,0,0,0,62,0,208,0,0,0,0
9/5/2014,Newly Reported Cases in HCW,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9/5/2014,Cumulative cases among HCW,157,5,26,0,3,3,0,20,32,65,3,0,0,0
9/5/2014,Newly Reported deaths in HCW,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9/5/2014,Cumulative deaths among HCW,78,5,5,0,1,0,0,17,19,31,0,0,0,0
9/5/2014,New Case/s (Suspected),18,0,2,0,0,0,0,0,5,11,0,0,0,0
9/5/2014,New Case/s (Probable),36,2,0,0,0,0,0,8,16,6,4,0,0,0
9/5/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/5/2014,Total suspected cases,404,4,87,1,21,3,3,53,135,66,24,6,0,1
9/5/2014,Total probable cases,942,30,41,0,12,5,0,365,110,320,56,3,0,0
9/5/2014,Total confirmed cases,622,33,24,0,13,4,0,249,30,226,41,0,1,1
9/5/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/5/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,1,0,0,0,0
