match eyediff nosecheekdiff variabilityratio
1 0.009682767 0.027914422 1.0862036
1 0.027613893 0.017821209 0.98984042
1 0.015366519 0.025831893 1.010983
1 0.013371465 0.024047631 1.0127243
1 0.011427641 0.017800852 1.0443961
1 0.068604835 0.050388073 0.95081755
1 0.0092405937 0.016042421 1.0067264
1 0.030349 0.01470776 1.0186794
1 0.031075438 0.069049962 1.0307903
0 0.0072111477 0.099909148 0.92894993
1 0.069536689 0.032552742 1.0339174
1 0.05868035 0.18197674 1.0381024
1 0.02430064 0.168968 1.0474329
1 0.017598196 0.017453278 1.0307914
1 0.0447438 0.01694798 1.0434113
1 0.081175228 0.04882483 0.9450776
1 0.001030564 0.058073308 0.97967181
1 0.026019576 0.0021987869 0.97439271
1 0.010668888 0.0097865441 1.0132489
0 0.0048584142 0.04042454 0.97750209
1 0.022477321 0.0029234122 0.98996514
1 0.064212629 0.060117803 0.9759677
1 0.047973733 0.018955259 1.0229179
1 0.016297828 0.037915372 0.99772616
1 0.090643955 0.053423339 1.0664788
1 0.025401783 0.01076933 0.997564
1 0.09880217 0.099878692 1.1425239
1 0.010717157 0.065047576 0.97634232
1 0.061341727 0.015821612 0.95647762
1 0.064548892 0.03421895 0.97721782
1 0.0086919549 0.0088428625 1.0311007
1 0.058444264 0.0043283026 0.99422027
1 0.04722768 0.12425692 0.95336121
1 0.059103254 0.080039042 1.0469412
1 0.0055770824 0.01792558 0.97910788
1 0.0030736314 0.017096073 1.0107789
1 0.03482266 0.12332899 1.0019747
1 0.023365408 0.075979583 0.99271634
1 0.027950687 0.038528298 1.0287591
1 0.029037878 0.059683285 0.97509631
1 0.0021463261 0.10882571 1.0258629
0 0.027480105 0.038844799 1.0033936
1 0.0097749047 0.034289681 0.98885295
1 0.074143803 0.049431658 1.0092391
0 0.0033195911 0.19130946 1.107591
1 0.067488939 0.086301698 0.97764872
1 0.042309119 0.050193297 0.98715018
1 0.061710515 0.097410509 0.92907665
0 0.10248747 0.06498161 0.97776464
1 0.015270138 0.12670617 0.90054138
1 0.074052736 0.025987804 0.96635203
1 0.05994453 0.054311853 0.96109949
1 0.040862351 0.027310804 1.0192792
1 0.054870601 0.0091174425 0.97031733
1 0.074469994 0.037408381 0.9871329
1 0.032672652 0.052345557 0.98781076
1 0.075415615 0.03820373 1.0090212
1 0.018367992 0.049251432 1.0296607
0 0.12290015 0.1164114 1.0633253
1 0.024907978 0.016685222 0.99277925
1 0.06224354 0.0063675951 1.0406969
1 0.036612557 0.10625451 1.0691924
1 0.060998959 0.048823964 1.0784355
1 0.057666896 0.077425458 1.0785344
1 0.078381142 0.049316885 1.0262071
1 0.015743809 0.016452916 1.0941329
0 0.058375551 0.025718259 0.92828294
0 0.035030615 0.019186038 0.96139635
1 0.0027816533 0.026278444 0.99275522
0 0.030617607 0.035706756 0.99942064
0 0.09591837 0.21556261 1.0956292
0 0.021800028 0.050261234 0.97142798
1 0.049330606 0.0094907505 0.90894563
1 0.07148833 0.078934855 1.0479078
1 0.088237242 0.091494912 1.0633242
0 0.00037725544 0.16040089 0.93473954
0 0.022684494 0.1461904 0.97009168
1 0.030539586 0.14266404 1.0867098
1 0.0097594651 0.04566648 0.99186926
1 0.06439181 0.12352633 1.1083289
1 0.033447735 0.011660912 0.97640496
1 0.015653984 0.021031709 0.99353874
1 0.01802577 0.04225207 1.079049
1 0.014910676 0.018201988 0.98976144
1 0.038343942 0.048642261 0.96088463
0 0.090896095 0.16017865 0.84323475
0 0.00084080401 0.057485189 0.91910149
1 0.019509446 0.14995447 1.0054398
