65.11 61.38 53.24 59.13 59.57 50.57 55.48 54.72 46 50.82 51.4 54.56 54.13 55.48 60.52 56.01 60.07 63.19 61.39 56.3
61.57 53.34 66.15 66.62 55.97 52.45 53.68 54.87 55.42 47.87 51.56 62.1 53.89 63.56 56.37 63.26 61.36 52.44 58.46 60.51
62.03 61.39 61.07 56.82 63.54 57.62 57.14 57.68 50.15 54.05 58.99 67.46 54.5 61.58 64.98 62.1 61.3 65.58 57.32 55.26
63 68.61 64.03 51.81 60.01 59.8 57.44 58.3 48.51 58.59 55.81 45.53 51.95 59.46 62.2 61.17 63.48 58.43 60.44 55.79
50.89 64.16 61.57 65.92 64.28 67.52 58.49 51.61 53.29 59.43 46.64 50.8 54.8 65.12 59.08 61.65 67.66 65.86 52.48 64.14
58.63 54.06 53.93 57.78 61.77 60.7 58.33 50.9 52.02 46.46 60.79 70.25 57.09 64.95 64.25 58.97 53.29 46.86 51.57 57.44
43.72 55.36 53.44 60.1 53.97 62.44 63.79 65.8 54.07 62.98 53.32 52.92 58.46 69.04 63.01 55.68 58.76 58.25 47.07 60.01
58.59 45.3 45.4 58.88 69.11 51.64 60.4 58.73 68.11 64.29 67.08 65.18 64.83 69.71 61.54 55.97 52.51 53.59 50.67 52.5
52.44 47.42 61.87 55.34 54.57 61.17 58.64 61.32 54.98 64.77 45.76 57.83 53.83 61.72 61 59.18 51.03 53.81 55.12 50.15
52.76 47.46 57.24 53.63 49.98 58.41 61.15 55.04 56.51 60.95 60.27 63.47 59.66 57.27 52.96 59.86 56.35 50.15 56.58 57.09
56.98 57.39 59.74 52.16 55.07 60.8 64.25 60.09 57.4 62.29 57.7 58.08 54.92 55.44 55.09 50.03 40.75 54.28 57.62 52.32
57.14 49.73 46.3 52.41 64.67 61.58 60.23 66.42 63.91 59.31 61.34 55.01 64.96 65.82 50.67 53.04 57.97 55.97 56.8 58.34
61.43 46.95 57.48 54.76 62.99 65.7 68.75 57.5 59.33 56.12 61.82 62.1 58.33 58.87 57.81 51.27 49.83 52.85 47.5 49.6
61.29 57.5 65.6 63.22 65.74 57.38 54.28 54.99 57.61 60.82 70.26 62.39 66.46 70.07 59.92 58.36 56.66 55.58 56.25 52.84
49.91 54.51 62.72 65.27 64.11 68.9 59.47 53.61 52.52 56.16 44.69 55.55 65.04 48.98 63.36 71.72 56.34 56.85 55.62 47.29
58.06 54.52 56.28 64.6 55.45 57.56 66.14 46.71 50.45 53.54 58.78 54.48 60.02 60.89 64.52 60.55 65.62 47.9 54.34 49.12
58.79 65.54 56.7 58.82 64 59.77 62.27 48.2 43.33 54.01 49.94 62.87 57.79 58.98 58.14 51.09 61.03 54.19 64.95 66.97
56.32 58.48 65.26 61.41 66.81 48.78 52.94 51.2 47.42 46.85 60.2 55.25 60.87 47.82 61.45 54.99 67.56 65.36 65.95 58.45
60.05 69.69 58.09 58.23 57.32 54.91 52.54 52.44 52.79 55.93 51.56 53.2 48.99 53.03 49.1 57.74 53.88 71.35 60.77 58.37
67.84 64.23 51.08 55.79 53.64 46.32 59.11 56.79 52.35 63.44 45.39 59.55 55.16 53.04 55.12 54.65 54.94 51.82 63.43 56.68
