time pressure
-0.011375 0.0054389
-0.011125 0.00081996
-0.010875 0.00707884
-0.010625 0.00081996
-0.010375 0.0075252
-0.010125 0.0075252
-0.009875 0.0033526
-0.009625 0.0033526
-0.009375 0.0033526
-0.009125 0.0033526
-0.008875 0.00499255
-0.008625 0.0033526
-0.008375 0.0012663
-0.008125 0.0033526
-0.007875 0.0075252
-0.007625 0.0054389
-0.007375 0.0012663
-0.007125 0.0158703
-0.006875 0.0054389
-0.006625 0.00081996
-0.006375 0.0033526
-0.006125 0.013784
-0.005875 0.00290625
-0.005625 0.0033526
-0.005375 0.0054389
-0.005125 0.0116977
-0.004875 0.0075252
-0.004625 0.0033526
-0.004375 0.00081996
-0.004125 0.00081996
-0.003875 0.0033526
-0.003625 0.00707884
-0.003375 0.0075252
-0.003125 0.0033526
-0.002875 0.00081996
-0.002625 0.00707884
-0.002375 0.0054389
-0.002125 0.00081996
-0.001875 0.0075252
-0.001625 0.00499255
-0.001375 0.0054389
-0.001125 0.00290625
-0.000875 0.0012663
-0.000625 0.00707884
-0.000375 0.0033526
-0.000125 0.00081996
0.000125 0.30541859
0.000375 2.42717756
0.000625 1.97445219
0.000875 0.94591024
0.001125 0.97720462
0.001375 1.86596501
0.001625 1.20669674
0.001875 0.67051969
0.002125 1.17748865
0.002375 1.01684417
0.002625 0.2537076
0.002875 0.7669354
0.003125 0.4790272
0.003375 0.8190927
0.003625 1.1987979
0.003875 0.9213211
0.004125 0.7356411
0.004375 0.8858541
0.004625 0.8274379
0.004875 0.6834838
0.005125 0.7585903
0.005375 0.8910698
0.005625 0.8827247
0.005875 0.721037
0.006125 0.6678366
0.006375 0.7512883
0.006625 0.7304253
0.006875 0.513451
0.007125 0.4550348
0.007375 0.4717251
0.007625 0.4466896
0.007875 0.427913
0.008125 0.4946743
0.008375 0.5176236
0.008625 0.4268699
0.008875 0.3788851
0.009125 0.3538496
0.009375 0.2891746
0.009625 0.2787431
0.009875 0.3413319
0.010125 0.3121238
0.010375 0.2578802
0.010625 0.3037786
0.010875 0.2265858
0.011125 0.1368753
0.011375 0.0888905
0.011625 0.00499255
0.011875 0.1218249
0.012125 0.18649995
0.012375 0.26369275
0.012625 0.29081455
0.012875 0.4347687
0.013125 0.36800735
0.013375 0.28455567
0.013625 0.41390578
0.013875 0.39930173
0.014125 0.35757589
0.014375 0.32210893
0.014625 0.25534759
0.014875 0.26160646
0.015125 0.21779433
0.015375 0.20527658
0.015625 0.16146445
0.015875 0.08427164
0.016125 0.11765231
0.016375 0.15520557
0.016625 0.12599748
0.016875 0.11973861
0.017125 0.12808377
0.017375 0.14477411
0.017625 0.10513456
0.017875 0.1604213
0.018125 0.20423343
0.018375 0.14164467
0.018625 0.14998984
0.018875 0.18962939
0.019125 0.14373096
0.019375 0.06027928
0.019625 0.07071074
0.019875 0.04776153
0.020125 0.00290625
0.020375 0.0096115
0.020625 0.013784
0.020875 0.0304744
0.021125 0.0429921
0.021375 0.0304744
0.021625 0.013784
0.021875 0.034647
0.022125 0.063855
0.022375 0.0304744
0.022625 0.0283881
0.022875 0.0304744
0.023125 0.0116977
0.023375 0.013784
0.023625 0.0033526
0.023875 0.00499255
0.024125 0.06132243
0.024375 0.04880468
0.024625 0.00916513
0.024875 0.01125142
0.025125 0.04671839
0.025375 0.03837322
0.025625 0.03002805
0.025875 0.0425458
0.026125 0.05923614
0.026375 0.05297726
0.026625 0.03628693
0.026875 0.02168288
0.027125 0.03420063
0.027375 0.03837322
0.027625 0.02376917
0.027875 0.00707884
0.028125 0.0054389
0.028375 0.0221292
0.028625 0.0179566
